class_index,review_title,review_text
1,lack import word sometim poorli translat,bad dictionari surpris still bought mani essenti word lack one occass face incorrect translat book agre review buy dictionari get czech republ seven eight concis english czech czech english dictionari choos better hippocren
1,not worth price,toy purchas gift son christma 2010 two day later neck broke head fell upon observ neck thin piec plastic absolut not durabl disappoint toy break quickli easili even disappoint hard find expens yet valu highli children play review noth jakk pacif everyth actual toy action figur
1,kindl fire edit,anybodi actual got kindl fire everi time click kindl like take 1939 photo book not one want curiou see anybodi gotten mark wrong
1,not buy cd realli like music,first shame amazon not provid suffici inform cd one would think sinc list artist origin perform song would actual tune accustom hear radio wrong even though back cd state origin artist origin record get buy rendit sure never heard everi singl track sound like brought origin artist last year play midi karaok background music let artist wail away billi don hero cd almost make laugh don know get refund sure heck go tri email record compani see say not optimist hope save spend money worthless disk bad song classic
1,slip chair back support,chair back support could use verticl strap keep place desk chair chair back slip space seat back consequ keep pull place noth unusu desk chair
1,horribl,simpli dread usual finish watch movi even find unapp hope find redeem qualiti could not finish utter piec crap beatti rap annoy describ script littl idea could went somewher yuck
1,realli bad,graphic bad game imposs play bare anyth recomend tripl play basebal 10 time better
1,great idea terribl product even wors custom servic,like mani other bought think would save batteri son v smile pocket not sit recharg correctli tip backward lose contact way get work hold 2 3 hour yeah right stack sever heavi object edg hope work battl v tech 3 month promis replac twice final got letter instruct mail product back would send replac no offer reimburs postag no apolog hassl no apolog inconveni inform warranti expir meantim would pay replac believ save money aggrav invest similar game system ie leapster friend noth happi
1,shadi busi practic,love jonathan franzen bought book amazon without problem one book arriv immedi tore built momentum realli turn page halfway first chapter turn page sentenc didn carri d wine check coupl time turn wasn load instead copi miss 33 page flip found page 55 eightsometh repeat later book don know publish move second amazon figur re less like return amazon made terribl busi decis regardless ve two problem row order amazon lesson keep ship box
1,messag ziggi,feel seem hurt album not enjoy everyon right opinion must girl want girl stop cri like littl hctib
1,waist time money,author understand consid smart don know first thing number theori descript event led solv problem question lack accuraci substanc
1,guy dumb,know funni guy write jw talk alot crap know noth wrong don write book born again cathol jew muslim everyth huh everyon belief iif don believ anyth jw say get panti bunch funni caus guy write book seem care much sinc hate think re wrong don not talk bout em get life work get life peopl write 5 paragraph review amazon wow
1,return,bought item yesterday run directli back store return today joke speaker littl volum much less qualiti sound re pay dock charger not speaker system product anoth rip american consum wast money search good portabl ipod speaker continu
1,mother lawsand daughter law,worst book ever read written style 6th grade outlin section provid specif relationship problem mother law daughter law effect son give short simpl suggest done problem don fit one specif relationship inform useless bore read also wast time money
1,ugh,purchas film actor matthew broderick said best comedi ever made ugh name dozen film better no problem seller movi bore death give frank capra preston sturg
1,worst band world ever,think leather pant look good don look sad cd record compani releas rubbish don wast money
1,abolsut aw total wast money,book atroci book loos wine countri wed event 90 content rehash advic plan wed event gener content better gotten wed book even web would provid better content extent book wine countri wed simpli collect 1 4 page advertis local vendor event site etc believ ms river moor actual temer charg book
1,bad qualiti,hear left channel unless wiggl cabl brand new box either defect poor build qualiti
1,illeg edit,stori magnific edit extrem flaw font fairli larg somewhat choppi san serif not easi eye l charact seem darker rest almost strobe effect first chapter alon nearli dozen invers letter typograph error absolut read bride lammermoor buy differ print oxford edit clear legibl much better choic
1,toy r us still sell piec junk,toy r us still sell piec junk camera not work take forev camera take pictur pictur come dark not use flash white wash use flash burn set batteri flash photograph child got frustrat avoid cost
1,soft ware not work,bought item price good wast money soft ware includ didn work date unabl updat never use product
1,save manual,save money book poorli written need ti 84 manual get start mani command given not work stop use went algebra text book web site first last book dummi seri wast money
1,sadli disappoint,not like stubbl leg shave daili unfortunt product work longer hair leg not work stubbbl sadli disappoint product not work
1,bad beyond belief,movi never releas not histori movi per se anoth nauseat love triangl movi use queen mari uss missouri scene backdrop total inaccur one instantli recogniz profil unmistak neither type ship anywher near pearl harbor dec 7 1941 total wast 3 hour
1,gotta dumb buy seri,m sure peopl could learn someth book unfortun compar book real wast time money biggest gripe total lack pictur compar book hey guy re talk graphic program averag one two pict per page hardli enough get idea program also pict way small fuzzi realli see go much better book page less money
1,utterli horribl,amanda miranda far worst book ever read must abridg excit good part stori peck isn favorit author plot sound intrigu abl read page day titan not introduc end novel mention brief not recommend
1,dishonest drivel loud mouth,anoth dishonest loud book ann coulter coulter obvious someon payrol clearli promot someon els interest loud mouth annoy voic well use promot divis polit ideolog iron launch corpor media puppet pundit serv corpor agenda coulter book well use polit boy club write embarrass women everywher planet
1,exchang one problem anoth,older cat dander problem vet recommend product put cat foodit might help skin fur give quantiti specifi packag got diarrhea decid dander prefer diarrhea cat ran smell food bottom line use rare smaller amount one cat not
1,horribl,ve alway love hamlisch hate sayger faker baker god horribl date terribl lyric rotten score feel like take shower ve listen not 1 memor song amaz choru line 5 year fresh brilliant innov ever piec garbag start date
1,don wast money,dvd huge wast money whole thing poorli put togeth bad music wors girl take look cover offer one word bust first two hip hop honey dvd justifi purchas one suck
1,pretti aw,movi mostli aw clich moment humor enough funni moment warrant 1 star otherwis truli bad film
1,bore weak,good open scene cheap movi descend boredom quick love cheap horror movi one entertain one serious bore crapfest watch thing idea good horror movi 1 watch bunch lame peopl stand around talk parti long time small talk noth substanc 2 watch peopl loung boat long time 3 watch peopl run endlessli wood 10 minut time occasion shot killer feet walk end cheesi shot murder weapon rais cop cutaway no fx absolut no effort made entertain audienc one realli crappi one folk
1,dread film,first saw film teenag thought raunchiest ever seen obvious embellish film head sinc see watch much older guy find rather embarrass quit sure jane fonda feel much way
1,viewer lo angel,movi no way like origin killer 1989 movi due fact killer 2 old movi creat late 1970 chow yun fat start career movi industri return movi back get refund back video rip use actor name 0 star instead
1,um don hit woman like sing know,wait minut deep contralto attempt deep contralto ye voic extent one mezzo soprano deadpan deliveri might twist charm sang true rang weren consist flat hey need exist world real singer realli
1,proceed care,dobson write convinc way mix truth falsehood read dare disciplin prompli got rid order without spank spoil dobson teach parent use corpor punish whip spank children young 15 month old correct call defiant behavior disturb advic sure recip creat anxiou even depress child parent run book claim christian yet contain not one quot teach jesu christ rais seven wonder children no need strike domin fear pain seek parent look elsewher good parent instruct stay away book tell whip hit spank child order guid becom self disciplin adult simpli isn true
1,not order buyaccessori,record may good one receiv oper machin turn buyaccessori not back defect product exchang option decid accept return portion money paid polici compani repres amazon terribl violat basic consum trust make sorri ever order find anoth sourc
1,zero rate,give m night zero rate zero respect storylin creat origin amaz seri watch niec nephew zero understand clearli defin charact gut complet wast 150 million pathet special effect amaz tech avail origin materi hasn interest sinc first decent film give incred materi ruin thank good didn pay see friend hous
1,bad product,poor product never manag realli get air bottl wine tell no real pop remov stopper month mine broke find anoth brand
1,dark side stink,realli tri like album seen top album list chart million year cant stand even tri listen everi day coupl week see need grow well not what sound effect clock run cash regist ect oh chick scream seem hour grew still love beatl stone led zep hendrix ect sorri say dont dig album
1,po,could not recommend wors book better br seri lippincott pathophysiolog unless cours feel need lost unnecessarili dens materi mean book sure merit text medic student not pulmonologist fear simpli blind point hope student lsu sake guy better lectur writer
1,laugh cri,laughabl poor storytel prop upon no averag write overal book bad repres tragic poor standard today fantasi genr
